id,name,genre,grade_int,rating,ascents_done_count,overhang,vertical,slab,crag_name
193930,Hörnet,Traditional,275,1.0,1,0.0,0.0,1.0,Dyviksudd
169182,Kilroy Alternative,Traditional,950,1.0,1,1.0,0.0,0.0,Dyviksudd
290055,Mitt gym,Sport,800,1.0,1,1.0,0.0,0.0,Träskberget
147261,Mamma mia,Partially bolted,850,1.0,1,1.0,1.0,0.0,Dyviksudd
241278,Rektor Anna,Traditional,450,1.0,2,0.0,1.0,1.0,Uddeuddberget
126943,Ångbåtsblues,Sport,850,1.0,1,1.0,0.0,0.0,Münchenbryggeriet
128370,Ekstubbe airlines,Sport,500,1.0,1,1.0,0.0,0.0,Ekstubbeberget
26864,Pilgrim,Sport,1050,1.0,2,1.0,0.0,0.0,Anneberg
26870,Pausfågel,Traditional,300,1.0,1,1.0,0.0,0.0,Anneberg
29438,Den maskerade smiskaren,Sport,600,1.0,6,1.0,0.0,1.0,Beatelund
68113,Piggsvinet,Sport,400,1.0,1,0.0,0.0,1.0,Beatelund
153039,Cabrones,Partially bolted,380,1.0,2,0.0,0.0,1.0,Beatelund
27384,Oz,Sport,950,1.0,1,1.0,0.0,0.0,Kyrkviksklippan
214355,Spinn vidare,Sport,600,1.0,1,1.0,0.0,0.0,Uddeuddberget
64508,Sgt Pepper,Sport,650,1.0,1,0.0,1.0,0.0,"Ekholmsnäs, Stockholm"
149297,Not for anyone,Sport,850,1.0,1,1.0,0.0,0.0,Uddeuddberget
49905,Fruktans fötter,Sport,700,1.0,3,1.0,0.0,1.0,Ekoberget
108234,Vårkåt vänsterutsteg,Sport,600,1.0,11,0.0,1.0,0.0,Ekoberget
303512,Nattugglan second pitch,Sport,400,1.0,1,0.0,0.0,1.0,Ekoberget
46215,Stormvarning,Sport,600,1.0,5,0.0,1.0,0.0,Kanalklippan
246557,Nu kan man räkna till tio på eutruskiska,Sport,600,1.0,1,1.0,0.0,0.0,Häggsta
178658,Sexans kamin,Traditional,380,1.0,2,0.0,0.0,1.0,Häggsta
65313,Sjuochenhalvan,Traditional,150,1.0,6,0.0,1.0,0.0,Häggsta
71254,Freedonia,Traditional,800,1.0,1,1.0,0.0,0.0,Dyviksudd
41907,Änglamark,Partially bolted,650,1.0,3,0.0,1.0,0.0,Häggsta
214352,Tänt vare här,Sport,800,1.0,2,1.0,0.0,0.0,Uddeuddberget
278637,Snåljåpen,Sport,700,1.0,5,0.0,1.0,0.0,Saharaväggen
301426,Upp till kamp,Sport,950,1.0,3,1.0,0.0,0.0,Örnberget
302406,Man in the Moon,Sport,500,1.0,1,0.0,0.0,1.0,Örnberget
158026,Trampet av små fötter,Sport,200,1.0,2,0.0,0.0,1.0,Örnberget
42047,Timbuktu,Sport,400,1.0,2,0.0,0.0,1.0,Noret
49953,Loppbiten,Sport,750,1.0,3,0.0,1.0,0.0,Örnberget
45919,Toker,Partially bolted,450,1.0,1,0.0,0.0,1.0,Noret
45917,Polisen,Sport,650,1.0,1,1.0,0.0,0.0,Noret
29407,Linkup. Freaky - Blind,Sport,850,1.0,1,1.0,0.0,0.0,Nacka Kvarn
12154,Panta Rei,Sport,700,0.9899,100,1.0,0.0,0.0,Örnberget
132289,Andreas 42 vet hur det känns,Sport,600,0.9785,93,1.0,0.0,1.0,Flaten
19697,Soldans,Sport,650,0.9714,35,1.0,1.0,0.0,Anneberg
12454,Sator,Sport,1000,0.9574,47,1.0,0.0,0.0,Örnberget
39250,Kalles kaviar,Sport,600,0.9545,22,0.0,1.0,0.0,Älvnäs
49944,Tipp topp,Sport,850,0.9524,21,1.0,0.0,0.0,Örnberget
67406,Swastika,Sport,700,0.95,20,0.0,1.0,0.0,Gåseborg
300457,Date,Sport,600,0.95,20,1.0,0.0,0.0,Henriksdal
19693,Ignition,Sport,650,0.9495,100,1.0,0.0,0.0,Nacka Kvarn
39218,Bad Boys,Sport,950,0.9487,39,1.0,0.0,0.0,Örnberget
13597,Kojaks klubba,Sport,1000,0.9444,18,1.0,0.0,0.0,Flaten
191985,Raka rör vänster,Sport,650,0.9444,36,1.0,0.0,0.0,Örnberget
45818,Skriet från vildmarken,Sport,850,0.9412,17,1.0,0.0,0.0,Dödskalleberget
15821,Pumpmaskin,Sport,750,0.9355,125,1.0,0.0,0.0,Skevik
52028,Nescafe,Sport,650,0.9194,62,1.0,0.0,0.0,Sjötorpsberget
212021,Ryggskottlinjen,Sport,500,0.913,23,0.0,1.0,0.0,Dyviksudd
252005,4 år,Traditional,300,0.9091,11,0.0,0.0,1.0,Träskberget
74682,Dubbeltaket,Traditional,380,0.9091,11,0.0,0.0,1.0,Sjötorpsberget
57066,Järnmannen,Sport,700,0.9048,42,1.0,1.0,0.0,Flaten
45826,Guran,Sport,700,0.9,20,0.0,0.0,1.0,Dödskalleberget
300423,Fahrenheit,Sport,800,0.9,10,1.0,0.0,0.0,Henriksdal
